AnonymousSpecimenID	species.in.tree	SpeciesID	CommonName	DateCollected	Day	Month	FEtGTest1_Contents	FEtGTest1_Wtmg	FEtGTest1_conc_pgmg	FEtGTest1_conc_AbsPres	FiltF_Avg_Wtmg	FiltF_Avg_pgmg	FiltF_Avg_AbsIncPres	FiltF_Avg_Notes	LEtG_TubeID	LEtG_Wt_mg	LEtG_ngg	LEtG_ngg_plotting	LEtG_AbsIncPres	LEtG_Notes	Habitat	Trophic.Level	Trophic.Niche	Primary.Lifestyle	NectFrug.Other	NectFrug.Gran.Other	Nect.NonNect	FiltF_Avg_EtG_AbsIncPresBinom

MVZ:Bird:193321	Melanerpes_formicivorus	Melanerpes_formicivorus	Acorn_Woodpecker	29-Jun-2021	29	6	Body_feathers	19.5	20.73	20.73	19.5	20.73	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Granivore	Insessorial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:193322	Melanerpes_formicivorus	Melanerpes_formicivorus	Acorn_Woodpecker	29-Jun-2021	29	6	Body_feathers	19.8	24.68	24.68	19.8	24.68	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Granivore	Insessorial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:193495	Melanerpes_formicivorus	Melanerpes_formicivorus	Acorn_Woodpecker	12-Oct-2021	12	10	Body_feathers	17.9	26.15	26.15	17.9	26.15	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Granivore	Insessorial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:193496	Melanerpes_formicivorus	Melanerpes_formicivorus	Acorn_Woodpecker	12-Oct-2021	12	10	Body_feathers	21	30.35	0	NA	0.00	Inconclusive	Both_inconclusive	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Granivore	Insessorial	Other	Granivore	Non-nectarivore	0

Specimen5	Melanerpes_formicivorus	Melanerpes_formicivorus	Acorn_Woodpecker	20-Jul-2021	20	7	Body_feathers	18	22.74	22.74	18	22.74	Present	one_positive_reading	NA	NA	NA	NA	NA	NA	Woodland	Herbivore	Granivore	Insessorial	Other	Granivore	Non-nectarivore	1

MVZ:Bird:196057	Turdus_migratorius	Turdus_migratorius	American_Robin	25-Jan-2019	25	1	Body_feathers	10.0	53.51	53.51	10.0	53.51	Present	one_positive_reading	L6	1.6548	0	0	Absent	NA	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196058	Turdus_migratorius	Turdus_migratorius	American_Robin	8-Dec-2020	8	12	Body_feathers	12.5	26.5	26.5	12.5	26.50	Present	one_positive_reading	L7	1.2792	17.19	0	Inconclusive	"failed_mass_ratio,_coeluting_peak_on_qualifier"	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	1

MVZ:Bird:196059	Turdus_migratorius	Turdus_migratorius	American_Robin	14-Nov-2018	14	11	Body_feathers	9.3	83.97	0	9.3	0.00	Inconclusive	one_inconclusive	L10	0.8746	5.23	0	Inconclusive	"failed_mass_ratio,_coeluting_peak_on_qualifier"	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	0

MVZ:Bird:196055	Turdus_migratorius	Turdus_migratorius	American_Robin	20-Oct-2018	20	10	Body_feathers	9.8	NA	0	9.8	0.00	Inconclusive	one_inconclusive	L15	1.2048	14.82	14.82	Present	NA	Forest	Omnivore	Invertivore	Generalist	Other	Other	Non-nectarivore	0

